movie_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,startExperiment.started,key_start_experiment.started,key_start_experiment.keys,key_start_experiment.rt,experiment_start ,fixation_1.started,movie1_start ,movie.started,movie1_end ,wait_text.started,wait_key.started,wait_key.keys,wait_key.rt,fixation_1.stopped,movie2_start ,movie2_end ,movie3_start ,movie3_end ,movie4_start ,movie4_end ,movie5_start ,movie5_end ,movie6_start ,movie6_end ,movie7_start ,movie7_end ,movie8_start ,movie8_end ,movie9_start ,movie9_end ,movie10_start ,movie10_end ,movie11_start ,movie11_end ,movie12_start ,movie12_end ,movie13_start ,movie13_end ,movie14_start ,movie14_end ,movie15_start ,movie15_end ,movie16_start ,movie16_end ,movie17_start ,movie17_end ,movie18_start ,movie18_end ,movie19_start ,movie19_end ,movie20_start ,movie20_end ,movie21_start ,movie21_end ,movie22_start ,movie22_end ,movie23_start ,movie23_end ,movie24_start ,movie24_end ,movie25_start ,movie25_end ,movie26_start ,movie26_end ,movie27_start ,movie27_end ,movie28_start ,movie28_end ,movie29_start ,movie29_end ,movie30_start ,movie30_end ,movie31_start ,movie31_end ,movie32_start ,movie32_end ,calibration33_start ,smile.started,neutral.started,smile.stopped,neutral.stopped,frown.started,frown.stopped,neutral_2.started,neutral_2.stopped,relax.started,relax.stopped,text.started,key_last.started,key_last.keys,key_last.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,33.95973608300119,33.95973608300119,space,29.30417149999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_01.mp4,0,0,0,2,,,,,1677476049.334405,63.30859304200021,1677476050.579949,64.59513295800025,1677476054.832027,68.79570633300136,68.79570633300136,space,40.5155166659988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_23.mp4,0,1,1,18,,,,,,109.33543866700165,,110.67098400000032,,118.07360550000158,118.07360550000158,space,20.038135165999847,110.67098400000032,1677476096.654105,1677476104.10954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_05.mp4,0,2,2,6,,,,,,138.14286925000124,,139.32805112500137,,142.6727288330003,142.6727288330003,space,20.340064124999117,,,,1677476125.318374,1677476128.707837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_22.mp4,0,3,3,17,,,,,,163.03045162500166,,164.43015104200094,,169.30549404200065,169.30549404200065,space,14.331726665999668,164.43015104200094,,,,,1677476150.42062,1677476155.340545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/P02s.mp4,0,4,4,24,,,,,,183.66330287500023,,184.88659937500051,,215.19463079200068,215.19463079200068,space,23.927234790999137,184.88659937500051,,,,,,,1677476170.883674,1677476201.229369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_20.mp4,0,5,5,15,,,,,,239.14294195799994,,240.46278483300011,,244.1227202500013,244.1227202500013,space,14.289198499998747,240.46278483300011,,,,,,,,,1677476226.447567,1677476230.156529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_08.mp4,0,6,6,7,,,,,,258.44312354200156,,259.6478847920007,,269.658374042001,269.658374042001,space,16.683821873999477,259.6478847920007,,,,,,,,,,,1677476245.632281,1677476255.691624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_21.mp4,0,7,7,16,,,,,,286.3655413330016,,287.55434029200114,,298.56359966700074,298.56359966700074,space,15.67695774999811,287.55434029200114,,,,,,,,,,,,,1677476273.537835,1677476284.596345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_03.mp4,0,8,8,4,,,,,,314.2723871670005,,315.45823304200167,,323.74911820800116,323.74911820800116,space,16.92364833299871,315.45823304200167,,,,,,,,,,,,,,,1677476301.441164,1677476309.781334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_26.mp4,0,9,9,21,,,,,,340.6948725830007,,342.0972045000017,,347.62040470800093,347.62040470800093,space,16.526881207999395,342.0972045000017,,,,,,,,,,,,,,,,,1677476328.082494,1677476333.652393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
